código;status;detalhe do veredito
"4459230500";"✅";"Alta aderência: Senior Software Engineer - Backend — Mindbody. Evidências: .NET, microsserviços."
"4461257958";"✅";"Alta aderência: Senior .NET Developer, Brazil — CI&T. Evidências: C#, .NET, SQL Server, Azure, CI/CD."
"4460048583";"✅";"Alta aderência: Desenvolvedor Back End Sênior — Quality Digital. Evidências: C#, .NET, Azure, CI/CD."
"4460021143";"✅";"Alta aderência: Desenvolvedor C# Pleno — DBCORP. AI. Evidências: C#, .NET. Nível pleno, mas com forte aderência técnica."
"4459596528";"✅";"Alta aderência: AWS Back-end Developer | C# · .NET · Python - Squilla — Jobgether. Evidências: C#, .NET, SQL Server, AWS, microsserviços."
"4462182370";"✅";"Alta aderência: Desenvolvedor Fullstack Sr — Banco Daycoval. Evidências: .NET, SQL Server, CI/CD. Local compatível com a região aceita."
"4442723259";"✅";"Alta aderência: (1505) Senior Fullstack Engineer (React, Node.JS & C#) — Nortal. Evidências: C#, AWS, React, Terraform, CI/CD."
"84992";"✅";"Alta aderência: Desenvolvedor C# Net (Pleno) — Entrust IT. Evidências: C#, .NET, AWS, GitHub Actions, CI/CD. Nível pleno, mas com forte aderência técnica."
"84998";"✅";"Alta aderência: Desenvolvedor .Net C# — Entrust IT. Evidências: C#, .NET, AWS, GitHub Actions, CI/CD."
"85841";"✅";"Alta aderência: Desenvolvedor Full Stack — Entrust IT. Evidências: C#, .NET, ASP.NET, React, Terraform, GitHub Actions, Azure."
"86097";"✅";"Alta aderência: DBA SQL Server — Microdata Sistemas. Evidências: SQL Server."
"85936";"✅";"Alta aderência: Analista de TI Sênior - Cloud DevSecOps — 3CON Consultoria e Sistemas S/A. Evidências: AWS, Terraform, Azure."
"85241";"✅";"Alta aderência: SQL Server Developer — Entrust IT. Evidências: SQL Server."
"5815518004";"✅";"Alta aderência: Desenvolvedor(a) de Software Pleno - IT Credit Risk — Banco Pan. Evidências: .NET, AWS. Nível pleno, mas com forte aderência técnica. Local compatível com a região aceita."
"86057";"✅";"Alta aderência: Programador VB.Net e C# Pleno — Inex Consultoria de Informatica. Evidências: C#, .NET, VB.NET, VB6. Nível pleno, mas com forte aderência técnica. Local compatível com a região aceita."
"85540";"✅";"Alta aderência: Lider Tecnico .NET — IT Lab Software. Evidências: C#, .NET, AWS, Azure, CI/CD."
"85828";"✅";"Alta aderência: Desenvolvedor .NET Sênior — IVO SERVICES TECH RECRUIT. Evidências: C#, .NET, SQL Server, AWS, RabbitMQ, Azure, microsserviços."
"85313";"✅";"Alta aderência: Desenvolvedor(a) Full Stack - Alphaville — DATASMARTCOM S/A. Evidências: C#, .NET, AWS, React, CI/CD. Local compatível com a região aceita."
"85725";"✅";"Alta aderência: Programador Pleno — CAASP. Evidências: C#, .NET, VB6, SQL Server. Nível pleno, mas com forte aderência técnica. Local compatível com a região aceita."
"84859";"✅";"Alta aderência: DevOps Pleno — DIGITAL PACK TI. Evidências: AWS, Terraform, Azure, CI/CD. Nível pleno, mas com forte aderência técnica."
"85751";"✅";"Alta aderência: Desenvolvedor Fullstack .NET Pleno — PSM COM PROFESSIONAL SERVICES MANAGEMENT. Evidências: .NET, SQL Server. Nível pleno, mas com forte aderência técnica. Local compatível com a região aceita."
"85811";"✅";"Alta aderência: Desenvolvedor .Net — K2 Partnering. Evidências: .NET, SQL Server, Azure."
"85154";"✅";"Alta aderência: Arquiteto Back-end Sênior — K2 Partnering. Evidências: .NET, AWS, RabbitMQ, Azure, CI/CD. Local compatível com a região aceita."
"85888";"✅";"Alta aderência: Programador VBA — azurra system. Evidências: VBA, SQL Server."
