código;título;status;descrição
"84689";"PROGRAMADOR REACT / C# - PJ";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"84702";"Analista de qualidade JR- Remoto";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84704";"Analista Dados Sênior";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84725";"Desenvolvedor Cobol (IDMS)";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"84728";"Analista de Infraestrutura Pleno (Inicial)";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84729";"Analista de Infraestrutura Pleno 1 (Intermediário)";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84731";"Analista de Infraestrutura Pleno 2 (Avançado)";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84738";"Tech Recruiter";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"84757";"Gerente de projetos Oracle área fiscal- Híbrido RJ";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"84772";"Instrutor de Programação e Robótica";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84774";"Engenheiro de Dados Sênior";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84782";"Analista Desenvolvedor .Net Pleno";"✅";"Forte aderência: há evidência de C#, parte da sua stack dominada."
"84800";"Analista de Sistemas PL. (Ênfase em Dados)";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
"84816";"DESENVOLVEDOR PEGA SYSTEMS SÊNIOR";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"84817";"TECNICO INFRAESTRUTURA";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84828";"Analista de Sistemas RPA";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"84830";"TÉCNICO EM MANUTENÇÃO DE IMPRESSORAS";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84838";"DCEO";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84839";"Líder Técnico de Projeto";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"84847";"DBA Sênior";"✅";"Forte aderência: há evidência de MySQL, parte da sua stack dominada."
"84850";"Consultor AVALARA";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84852";"Técnico de Manutenção de Impressoras FS";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84853";"Técnico de Manutenção de Impressoras MS";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84855";"Help Desk para Zona Sul";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84863";"Suporte TI";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84865";"Consultor DevOps";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84872";"Consultor Técnico - Mastersaf";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84876";"CONSULTOR LOGIX - TOTVS";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84886";"Analista de Tecnologia Educacional";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"84891";"Programador/Desenvolvedor";"🟡";"Aderência parcial: área técnica próxima, mas sem evidência clara da sua stack dominada."
"84897";"Executivo de Vendas de Software";"🔴";"Aderência fraca: não há evidência de .NET, C#, VB ou bancos de dados da sua stack."
"84915";"Desenvolvedor Dot.Net Core 8. Pleno";"✅";"Forte aderência: há evidência de .NET, parte da sua stack dominada."
"84922";"Arquiteto de Soluções";"❌";"Bloqueada: a descrição exige idioma em avoidTerms (inglês/espanhol)."
