código;título;empresa;local exato;modalidade;contrato;stack .NET validada;evidências;ressalvas;confirmação
"84915";"Desenvolvedor Dot.Net Core 8. Pleno";"FábricaDS Soluções em Tecnologia";"Curitiba/PR";"Presencial, segunda a sexta";"Não informado";"Confirmada";"Experiência explícita com .NET Core 8+, DDD e Clean Code.";"Contrato não informado; pedido de pretensão por hora não confirma PJ.";"Dados capturados no Radar"
"84969";"Desenvolvedor .Net - Híbrido Porto Alegre/RS";"Iniciativa RH TI";"São Geraldo, Porto Alegre/RS";"Híbrido, 4 dias presenciais por semana";"CLT";"Confirmada";".NET/.NET Core, SQL/PostgreSQL e Azure DevOps aparecem como requisitos diretos.";"Foco também inclui HTML, CSS e JavaScript.";"Pendente de confirmação manual"
"85060";"Desenvolvedor .NET";"Indra Energia";"Av. Eng. Luís Carlos Berrini, São Paulo/SP";"Híbrido, 3 dias presenciais";"PJ";"Confirmada";"C#, .NET, Blazor, SQL Server, APIs REST e microserviços são requisitos diretos.";"Também pede JavaScript e mensageria (RabbitMQ ou Kafka).";"Dados capturados no Radar"
"85066";"Desenvolvedor(a) C# .NET SR";"K2 Partnering";"Santo Amaro, São Paulo/SP";"Híbrido";"Não informado";"Confirmada";"Desenvolvimento e sustentação backend com C# .NET e APIs REST.";"Exige AWS, CI/CD e GitHub Actions.";"Dados capturados no Radar"
"85144";"Desenvolvedor C# .Net - Mooca";"Sorter Curve";"Mooca, próximo ao metrô Belém, São Paulo/SP";"Presencial";"PJ ou CLT";"Confirmada";"Backend .NET/C#, SQL Server e PostgreSQL constam como requisitos centrais.";"É fullstack; requer experiência prática de frontend.";"Dados capturados no Radar"
"85168";"Analista de Sistemas Pleno - SBO/SP";"Alatere RH";"Santa Bárbara d'Oeste/Americana, SP";"Predominantemente presencial; 1 dia de home office";"Não informado";"Parcial";"C# é citado, mas o núcleo da vaga é ERP Totvs Datasul, Progress e processos automotivos.";"Campo do Radar indicava remoto, mas a descrição informa apenas um dia home office.";"Dados capturados no Radar — revisar modalidade"
"85434";"Analista Desenvolvedor Fullstack .NET";"ARTIUM Soluções";"Rua Murilo Andriani, Itacorubi, Florianópolis/SC";"Não informado";"Não informado";"Confirmada";"C#/.NET, ASP.NET, SQL Server, Oracle, MySQL e PostgreSQL são exigências diretas.";"Escopo amplo fullstack: Angular, Ionic, Vue, React, Docker/Kubernetes e Kafka.";"Dados capturados no Radar"
"85656";"Engenheiro(a) de Automação de Testes Sênior (QA)";"Code Group";"Barueri/SP";"Híbrido, 1 a 2 vezes por mês";"PJ";"Secundária";".NET aparece como tecnologia das aplicações testadas; a função é QA e automação de testes.";"Stack central é testes: Playwright/Cypress/Selenium, APIs, SQL e qualidade.";"Dados capturados no Radar"
"85733";"Desenvolvedores(as) .NET";"Nexmuv";"São Paulo/SP";"Híbrido, 3 dias presenciais";"PJ, 168h/mês";"Confirmada";".NET Core/C#, APIs, integrações e SQL Server são requisitos diretos; VB.NET é diferencial.";"Contexto de Core Banking e pagamentos pode exigir domínio de negócio financeiro.";"Dados capturados no Radar"
"85878";"Desenvolvedores(as) .NET / React";"Nexmuv";"São Paulo/SP";"Híbrido; fora de SP pode atuar remotamente";"Não informado";"Confirmada";".NET e React são requisitos diretos, com CI/CD, Azure DevOps, Docker e Kubernetes.";"Exigência obrigatória: experiência em hospitais ou operadoras de saúde.";"Dados capturados no Radar"
"85889";"Programador VB6 - Zona Leste-SP";"Keysystems.Informatica";"Zona Leste, São Paulo/SP";"Presencial";"CLT efetivo";"Confirmada";"VB6 e MySQL são exigências diretas; Git é diferencial.";"Foco em manutenção e novas aplicações legadas em VB6.";"Dados capturados no Radar"
"85981";"Desenvolvedor Full Stack Sênior C#.NET Node React";"PSW";"Home Office";"Remoto";"Não informado";"Confirmada";"C# e .NET aparecem explicitamente no backend, junto de APIs e integrações.";"Stack também é fortemente Node.js/NestJS, React/Next.js; descrição capturada está truncada.";"Dados capturados no Radar — descrição parcial"
