código;status;detalhe do veredito
"4460036797";"🟡";"Provável com ressalvas: Sr. DBA Consultant — Mary Kay do Brasil. Evidências: SQL Server, AWS, Azure, Data, Security. Confirmar: stack central C#/.NET não está confirmada."
"4459216363";"🟡";"Provável com ressalvas: Supervisor(a) de Cybersegurança | Estratégica — GRU Airport - Aeroporto Internacional de São Paulo. Evidências: Dados, Data, Segurança, Security. Confirmar: stack central C#/.NET não está confirmada."
"4458009847";"🟡";"Provável com ressalvas: Consultor de Governança de Dados — Every Cybersecurity, GRC and Privacy Solutions. Evidências: Dados, Data, Segurança, Security. Confirmar: stack central C#/.NET não está confirmada."
"4459246692";"🟡";"Provável com ressalvas: Data Scientist - Foco em Transformação de Educação e Desenvolvimento com IA - Especialista Sênior — TIM Brasil. Evidências: Dados, Data, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"4459598635";"🟡";"Provável com ressalvas: Analista de Segurança da Informação - Engenharia de Defesa (WAF Akamai) — Jobgether. Evidências: AWS, Segurança, Security. Confirmar: stack central C#/.NET não está confirmada."
"4457294508";"🟡";"Provável com ressalvas: Analista Desenvolvedor .NET — Dotcode Soluções em Tecnologia. Evidências: C#, .NET, SQL Server, React, Azure, CI/CD, DevOps. Confirmar: confirmar possibilidade remota, pois a localização informada é Linhares/ES."
"4460028784";"🟡";"Provável com ressalvas: IT Project Management - Remoto — HCLTech. Evidências: AWS. Confirmar: stack central C#/.NET não está confirmada."
"4461295897";"🟡";"Provável com ressalvas: Analista de Segurança da Informação Senior | Sênior (Remoto) — Stone. Evidências: AWS, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"85300";"🟡";"Provável com ressalvas: Analista de Requisitos Sênior — TO Brasil. Evidências: Dados. Confirmar: stack central C#/.NET não está confirmada."
"85438";"🟡";"Provável com ressalvas: Arquiteto(a) de Soluções Sênior — SEMPRE IT SERVICOS DE TECNOLOGIA LTDA. Evidências: AWS, Azure. Confirmar: stack central C#/.NET não está confirmada."
"85102";"🟡";"Provável com ressalvas: ANALISTA DE INFRAESTRUTURA DE REDE SENIOR N3 — Quality Technology. Confirmar: stack central C#/.NET não está confirmada."
"7802871003";"🟡";"Provável com ressalvas: Analista de Segurança da Informação Senior | Sênior (Remoto) — Vitta. Evidências: Segurança. Confirmar: stack central C#/.NET não está confirmada."
"86115";"🟡";"Provável com ressalvas: Gerente de Governança de TI — Ewave do Brasil. Evidências: AWS, CI/CD, Dados, Segurança. Confirmar: stack central C#/.NET não está confirmada."
"86113";"🟡";"Provável com ressalvas: Desenvolvedor Mobile – React Native / Xamarin — Entrust IT. Evidências: React, Xamarin, DevOps. Confirmar: stack central C#/.NET não está confirmada."
